涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例,总数,排名,涨跌幅区间,凯莉公式仓位,胜率,仓位
2025-03-18,301275,84.0,74.81,-9.189999999999998,-2.789029047563936,-10.51961578521005,-0.4138644593895411,-3.2462493533367707,-10.940476190476188,12,11,"[-3, -2)",0.35175233884336443,0.6428571428571429,0.35175233884336443
2025-03-18,301607,38.79,36.07,-2.719999999999999,-2.020712301086143,-5.986360191967679,0.5104782375067107,-3.0897367006985457,-7.012116524877543,12,8,"[-3, -2)",0.030027686144610544,0.3333333333333333,0.030027686144610544
2025-03-18,301607,54.33,50.52,-3.809999999999995,-2.002164502164501,-5.970418470418462,0.4987531172069787,-3.0884327642432368,-7.0127001656543255,12,7,"[-3, -2)",-0.1714169081827494,0.3333333333333333,0.0
2025-03-19,300817,31.9,29.98,-1.9199999999999984,2.473498233215546,8.030838419531012,-4.846862920011901,-10.853404698186148,-6.018808777429461,2,1,"[2, 3)",0.4624995506033597,0.5882352941176471,0.4624995506033597
2025-03-19,300817,32.1,30.18,-1.9200000000000017,2.4577082668369075,7.979572294924993,-4.818208690511368,-10.789240319243271,-5.981308411214958,2,2,"[2, 3)",-0.3414636997958269,0.36363636363636365,0.0
2025-03-20,300084,8.15,10.42,2.27,2.002503128911141,20.025031289111386,-6.152241918665276,8.654848800834202,27.852760736196316,8,3,"[2, 3)",0.4176297080175916,0.64,0.4176297080175916
2025-03-20,300084,8.15,10.42,2.27,2.002503128911141,20.025031289111386,-6.152241918665276,8.654848800834202,27.852760736196316,8,3,"[2, 3)",0.4176297080175916,0.64,0.4176297080175916
2025-03-20,300879,20.48,19.36,-1.120000000000001,-3.396226415094335,-6.273584905660369,-0.2013085052843618,-2.566683442375448,-5.468750000000004,8,8,"[-4, -3)",-inf,0.0,0.0
2025-03-20,300879,20.5,19.38,-1.120000000000001,-3.393025447690853,-6.267672007540048,-0.2011060834590203,-2.564102564102572,-5.463414634146346,8,7,"[-4, -3)",-3.6350470567438524,0.25,0.0
2025-03-20,301079,28.26,34.85,6.59,16.77685950413224,20.0,3.2369146005509686,20.006887052341607,23.319179051663127,8,1,"[16, 17)",0.26526172098153394,0.5,0.26526172098153394
2025-03-20,301079,28.28,34.87,6.589999999999996,16.76300578034683,19.98348472336912,3.2346868547832117,19.99311768754301,23.30268741159829,8,2,"[16, 17)",,1.0,0.0
2025-03-20,301298,19.71,18.71,-1.0,0.1015744032503787,4.977145759268666,-7.063376874697632,-9.48234155781326,-5.073566717402334,8,5,"[0, 1)",0.12297994242812782,0.4358974358974359,0.12297994242812782
2025-03-20,301298,20.0,19.0,-1.0,0.1001001001000979,4.904904904904907,-6.965648854961835,-9.351145038167942,-5.0,8,6,"[0, 1)",-0.23870752456509348,0.36363636363636365,0.0
2025-03-21,300569,6.7,6.3,-0.4000000000000003,6.0126582278481,-1.107594936708865,-2.5600000000000023,0.7999999999999973,-5.970149253731349,2,1,"[6, 7)",0.16967613986589533,0.391304347826087,0.16967613986589533
